"league","season","team","player","league_id","season_id","team_id","player_id","position_raw","matches","minutes","goals","xg","np_goals","np_xg","assists","xa","shots","key_passes","yellow_cards","red_cards","xgchain","xgbuildup","nation","position_group","npg","xg_plus_xa","npg_plus_xa","xg_per90","xa_per90","xgchain_per90","xgbuildup_per90","npg_per90","goals_per90","shots_per90","key_passes_per90","assists_per90","sb_minutes","sb_goals","sb_xg","sb_np_xg","sb_shots","sb_np_shots","sb_assists","sb_xa","sb_key_passes","sb_progressive_passes","sb_progressive_carries","sb_competitions","sb_nation"
"ENG-Premier League",2122,"Brentford","David Raya",1,2021,244,9676,"GK",24,2160,0,0,0,0,0,0.0409960001707077,0,1,1,0,4.1208132468164,4.1208132468164,"Spain","GK",NA,0.0409960001707077,0.0409960001707077,0,0.0017081666737794,0.171700551950683,0.171700551950683,NA,0,0,0.0416666666666666,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Brentford","Ethan Pinnock",1,2021,244,9678,"D",32,2701,1,1.74650804977864,1,1.74650804977864,1,1.72450455650687,16,12,1,0,6.18483712151647,4.27509153261781,"England","DEF",NA,3.47101260628551,1.72450455650687,0.0581953811477518,0.0574622029195181,0.206084909639571,0.142450291719956,NA,0.0333209922251018,0.533135875601629,0.399851906701222,0.0333209922251018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Brentford","Ivan Toney",1,2021,244,998,"F S",33,2905,12,12.0485858283937,7,8.24277617409825,5,7.34353080950677,88,43,8,0,12.1691186130047,2.39336660690606,"England","F S",NA,19.3921166379005,7.34353080950677,0.373278046318565,0.227510420948575,0.37701228060944,0.0741490515048347,NA,0.371772805507745,2.7263339070568,1.33218588640275,0.154905335628227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Brentford","Josh Dasilva",1,2021,244,10405,"F M S",9,242,0,0.10198599845171,0,0.10198599845171,0,0.182337805628776,1,3,0,1,0.449614307843149,0.165290202014148,"England","F M S",NA,0.284323804080486,0.182337805628776,0.0379286771101399,0.0678115806057433,0.16721193266894,0.0614715627325344,NA,0,0.371900826446281,1.11570247933884,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Brentford","Kristoffer Ajer",1,2021,244,9677,"D S",24,2012,1,1.06557577475905,1,1.06557577475905,3,2.2111876308918,7,8,5,0,5.55334856361151,3.83590595051646,"Norway","D S",NA,3.27676340565085,2.2111876308918,0.0476649203421048,0.0989099834891958,0.248410224018407,0.171586250271611,NA,0.0447316103379721,0.313121272365805,0.357852882703777,0.134194831013916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Brentford","Pontus Jansson",1,2021,244,1801,"D",37,3325,3,4.59342332743108,3,4.59342332743108,1,0.560582300648093,22,5,7,0,5.3875168710947,3.88591074943542,"Sweden","DEF",NA,5.15400562807918,0.560582300648093,0.124333262998135,0.0151736562581438,0.145827524330383,0.10518254660126,NA,0.081203007518797,0.595488721804511,0.135338345864662,0.0270676691729323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Brentford","Rico Henry",1,2021,244,9679,"D M S",34,2796,3,1.89993570093066,3,1.89993570093066,0,1.87244338728487,14,18,2,0,9.12815939076245,6.30186513997614,"England","D M S",NA,3.77237908821553,1.87244338728487,0.0611567285707292,0.0602717828525174,0.293824873093212,0.202849736265327,NA,0.0965665236051502,0.450643776824034,0.579399141630901,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Brentford","Sergi Canos",1,2021,244,1078,"D F M S",31,2128,3,3.48991888016462,3,3.48991888016462,2,2.16649509966373,33,17,6,1,6.95504687726498,2.18180670402944,"Spain","D F M S",NA,5.65641397982836,2.16649509966373,0.147599952638541,0.0916280822226203,0.29415141868132,0.0922756594749293,NA,0.12687969924812,1.39567669172932,0.718984962406015,0.0845864661654135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Brentford","Vitaly Janelt",1,2021,244,9680,"D M S",31,2328,4,2.98983272444457,4,2.98983272444457,0,1.81680517829955,30,23,3,0,7.37211370933801,3.24140420369804,"Germany","D M S",NA,4.80663790274411,1.81680517829955,0.115586316666671,0.0702373135940546,0.285004395979562,0.125312018184203,NA,0.154639175257732,1.15979381443299,0.889175257731959,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Brentford","Yoane Wissa",1,2021,244,5786,"F M S",30,1230,7,3.40183437336236,7,3.40183437336236,1,0.670594800263643,32,9,0,0,4.41632486879826,1.82530558109283,"France","F M S",NA,4.07242917362601,0.670594800263643,0.248914710246026,0.0490679122144129,0.323145722107189,0.133558944958012,NA,0.51219512195122,2.34146341463415,0.658536585365854,0.073170731707317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Brentford","Álvaro Fernández",1,2021,244,5191,"GK",12,1080,0,0,0,0,0,0,0,0,0,0,0.342856097966433,0.342856097966433,"Uruguay","GK",NA,0,0,0,0,0.0285713414972027,0.0285713414972027,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Brighton","Adam Lallana",1,2021,220,486,"F M S",24,1568,0,0.880113599821925,0,0.880113599821925,1,0.931783525273204,19,8,4,0,5.68792554177344,5.04813868552446,"England","F M S",NA,1.81189712509513,0.931783525273204,0.0505167244795747,0.0534824727516507,0.326475318086486,0.289752858225256,NA,0,1.0905612244898,0.459183673469388,0.0573979591836734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Brighton","Adam Webster",1,2021,220,7699,"D S",22,1419,2,1.48667894676328,2,1.48667894676328,0,0.036905899643898,8,1,5,0,3.16935941576958,3.15234241634607,"England","D S",NA,1.52358484640718,0.036905899643898,0.0942925336213495,0.0023407547342852,0.201016453431474,0.199937151142457,NA,0.126849894291755,0.507399577167019,0.0634249471458773,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
