"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"International Friendlies (M)","M",NA,2024,NA,NA,"Tue",2024-10-15,"20:30","Mexico",2,"United States",0,43537,"Estadio Akron","Keylor Herrera","","https://fbref.com/en/matches/57bbc128/Mexico-United-States-October-15-2024-Friendlies-M",NA,NA
"UEFA European Football Championship","M",NA,2021,"Group stage","1","Sun",2021-06-13,"14:00","England",1,"Croatia",0,18497,"Wembley Stadium (Neutral Site)","Daniele Orsato","","https://fbref.com/en/matches/764c27dc/England-Croatia-June-13-2021-UEFA-Euro",1.5,0.4
"UEFA European Football Championship","M",NA,2021,"Group stage","1","Mon",2021-06-14,"14:00","Scotland",0,"Czech Republic",2,9847,"Hampden Park (Neutral Site)","Daniel Siebert","","https://fbref.com/en/matches/6599f4ab/Scotland-Czech-Republic-June-14-2021-UEFA-Euro",1.9,1.1
"UEFA European Football Championship","M",NA,2021,"Group stage","1","Mon",2021-06-14,"21:00","Spain",0,"Sweden",0,10559,"Estadio La Cartuja de Sevilla (Neutral Site)","Slavko Vinčič","","https://fbref.com/en/matches/107fd412/Spain-Sweden-June-14-2021-UEFA-Euro",2.3,1.2
"UEFA European Football Championship","M",NA,2021,"Group stage","1","Tue",2021-06-15,"21:00","France",1,"Germany",0,13000,"Allianz Arena (Neutral Site)","Carlos del Cerro","","https://fbref.com/en/matches/95d34c87/France-Germany-June-15-2021-UEFA-Euro",0.3,0.9
"UEFA European Football Championship","M",NA,2021,"Group stage","2","Thu",2021-06-17,"21:00","Netherlands",2,"Austria",0,15243,"Johan Cruyff ArenA (Neutral Site)","Orel Grinfeeld","","https://fbref.com/en/matches/f3d39a29/Netherlands-Austria-June-17-2021-UEFA-Euro",3.1,0.7
"UEFA European Football Championship","M",NA,2021,"Group stage","2","Fri",2021-06-18,"17:00","Croatia",1,"Czech Republic",1,5607,"Hampden Park (Neutral Site)","Carlos del Cerro","","https://fbref.com/en/matches/1e930db9/Croatia-Czech-Republic-June-18-2021-UEFA-Euro",0.9,1.6
"UEFA European Football Championship","M",NA,2021,"Group stage","2","Fri",2021-06-18,"20:00","England",0,"Scotland",0,20306,"Wembley Stadium (Neutral Site)","Antonio Matéu Lahoz","","https://fbref.com/en/matches/027b11df/England-Scotland-June-18-2021-UEFA-Euro",1.4,0.6
"UEFA European Football Championship","M",NA,2021,"Group stage","2","Sat",2021-06-19,"18:00","Portugal",2,"Germany",4,12926,"Allianz Arena (Neutral Site)","Anthony Taylor","","https://fbref.com/en/matches/e33c4403/Portugal-Germany-June-19-2021-UEFA-Euro",2,2.6
"UEFA European Football Championship","M",NA,2021,"Group stage","3","Sun",2021-06-20,"20:00","Switzerland",3,"Turkey",1,17138,"Bakı Olimpiya Stadionu (Neutral Site)","Slavko Vinčič","","https://fbref.com/en/matches/fa85a731/Switzerland-Turkiye-June-20-2021-UEFA-Euro",2.1,1.2
"UEFA European Football Championship","M",NA,2021,"Group stage","3","Tue",2021-06-22,"20:00","Croatia",3,"Scotland",1,9896,"Hampden Park (Neutral Site)","Fernando Rapallini","","https://fbref.com/en/matches/0305e42c/Croatia-Scotland-June-22-2021-UEFA-Euro",1,1.4
"UEFA European Football Championship","M",NA,2021,"Group stage","3","Tue",2021-06-22,"20:00","Czech Republic",0,"England",1,19104,"Wembley Stadium (Neutral Site)","Artur Soares Dias","","https://fbref.com/en/matches/20b1972b/Czech-Republic-England-June-22-2021-UEFA-Euro",0.3,1.5
"UEFA European Football Championship","M",NA,2021,"Group stage","3","Wed",2021-06-23,"21:00","Portugal",2,"France",2,54886,"Puskás Aréna (Neutral Site)","Antonio Matéu Lahoz","","https://fbref.com/en/matches/5a7e53d8/Portugal-France-June-23-2021-UEFA-Euro",1.9,1.9
"UEFA European Football Championship","M",NA,2021,"Round of 16",NA,"Sun",2021-06-27,"18:00","Netherlands",0,"Czech Republic",2,52834,"Puskás Aréna (Neutral Site)","Sergey Karasev","","https://fbref.com/en/matches/437cb418/Netherlands-Czech-Republic-June-27-2021-UEFA-Euro",0.9,1.6
"UEFA European Football Championship","M",NA,2021,"Round of 16",NA,"Sun",2021-06-27,"21:00","Belgium",1,"Portugal",0,11504,"Estadio La Cartuja de Sevilla (Neutral Site)","Felix Brych","","https://fbref.com/en/matches/ad36a434/Belgium-Portugal-June-27-2021-UEFA-Euro",0.2,1.4
"UEFA European Football Championship","M",NA,2021,"Round of 16",NA,"Mon",2021-06-28,"18:00","Croatia",3,"Spain",5,22771,"Parken (Neutral Site)","Cüneyt Çakιr","Required Extra Time","https://fbref.com/en/matches/799efcfc/Croatia-Spain-June-28-2021-UEFA-Euro",3.2,3.6
"UEFA European Football Championship","M",NA,2021,"Round of 16",NA,"Mon",2021-06-28,"22:00","France",3,"Switzerland",3,22642,"Arena Naţională (Neutral Site)","Fernando Rapallini","Switzerland won on penalty kicks following extra time","https://fbref.com/en/matches/2c7de26e/France-Switzerland-June-28-2021-UEFA-Euro",3.4,1.9
"UEFA European Football Championship","M",NA,2021,"Round of 16",NA,"Tue",2021-06-29,"17:00","England",2,"Germany",0,41973,"Wembley Stadium (Neutral Site)","Danny Makkelie","","https://fbref.com/en/matches/415ff832/England-Germany-June-29-2021-UEFA-Euro",1.3,1.4
"UEFA European Football Championship","M",NA,2021,"Quarter-finals",NA,"Fri",2021-07-02,"19:00","Switzerland",1,"Spain",1,24764,"Gazprom Arena","Michael Oliver","Spain won on penalty kicks following extra time","https://fbref.com/en/matches/18c4e831/Switzerland-Spain-July-2-2021-UEFA-Euro",0.8,2.9
"UEFA European Football Championship","M",NA,2024,"Group stage","1","Fri",2024-06-14,"21:00","Germany",5,"Scotland",1,65052,"Allianz Arena (Neutral Site)","Clément Turpin","","https://fbref.com/en/matches/bd775264/Germany-Scotland-June-14-2024-UEFA-Euro-2024",2.1,0
"UEFA European Football Championship","M",NA,2024,"Group stage","1","Sat",2024-06-15,"18:00","Spain",3,"Croatia",0,68844,"Olympiastadion Berlin (Neutral Site)","Michael Oliver","","https://fbref.com/en/matches/b996c4de/Spain-Croatia-June-15-2024-UEFA-Euro-2024",2,2.1
"UEFA European Football Championship","M",NA,2024,"Group stage","1","Mon",2024-06-17,"21:00","Austria",0,"France",1,46425,"Merkur Spielarena (Neutral Site)","Jesús Gil","","https://fbref.com/en/matches/3d8961eb/Austria-France-June-17-2024-UEFA-Euro-2024",0.8,2
"UEFA European Football Championship","M",NA,2024,"Group stage","1","Tue",2024-06-18,"21:00","Portugal",2,"Czech Republic",1,38421,"Red Bull Arena (Neutral Site)","Marco Guida","","https://fbref.com/en/matches/5e8192b8/Portugal-Czechia-June-18-2024-UEFA-Euro-2024",1.9,0.4
"UEFA European Football Championship","M",NA,2024,"Group stage","2","Wed",2024-06-19,"21:00","Scotland",1,"Switzerland",1,42711,"RheinEnergieSTADION (Neutral Site)","Ivan Kružliak","","https://fbref.com/en/matches/5ef87a15/Scotland-Switzerland-June-19-2024-UEFA-Euro-2024",0.7,1.1
"UEFA European Football Championship","M",NA,2024,"Group stage","2","Fri",2024-06-21,"21:00","Netherlands",0,"France",0,38531,"Red Bull Arena (Neutral Site)","Anthony Taylor","","https://fbref.com/en/matches/ad8d106c/Netherlands-France-June-21-2024-UEFA-Euro-2024",0.5,1.4
"UEFA European Football Championship","M",NA,2024,"Group stage","2","Sat",2024-06-22,"18:00","Turkey",0,"Portugal",3,61047,"Signal Iduna Park (Neutral Site)","Felix Zwayer","","https://fbref.com/en/matches/5448c54c/Turkiye-Portugal-June-22-2024-UEFA-Euro-2024",0.7,1.9
"UEFA European Football Championship","M",NA,2024,"Group stage","3","Sun",2024-06-23,"21:00","Switzerland",1,"Germany",1,46685,"Deutsche Bank Park (Neutral Site)","Daniele Orsato","","https://fbref.com/en/matches/14e2c55d/Switzerland-Germany-June-23-2024-UEFA-Euro-2024",0.6,1.6
"UEFA European Football Championship","M",NA,2024,"Group stage","3","Tue",2024-06-25,"18:00","Netherlands",2,"Austria",3,68363,"Olympiastadion Berlin (Neutral Site)","Ivan Kružliak","","https://fbref.com/en/matches/031f8ef3/Netherlands-Austria-June-25-2024-UEFA-Euro-2024",1.7,0.9
"UEFA European Football Championship","M",NA,2024,"Group stage","3","Wed",2024-06-26,"21:00","Czech Republic",1,"Turkey",2,47683,"Volksparkstadion (Neutral Site)","István Kovács","","https://fbref.com/en/matches/8824c255/Czechia-Turkiye-June-26-2024-UEFA-Euro-2024",1.6,1.4
"UEFA European Football Championship","M",NA,2024,"Round of 16",NA,"Mon",2024-07-01,"18:00","France",1,"Belgium",0,46810,"Merkur Spielarena (Neutral Site)","Glenn Nyberg","","https://fbref.com/en/matches/ffae1046/France-Belgium-July-1-2024-UEFA-Euro-2024",1.1,0.2
"UEFA European Football Championship","M",NA,2024,"Round of 16",NA,"Tue",2024-07-02,"21:00","Austria",1,"Turkey",2,38305,"Red Bull Arena (Neutral Site)","Artur Soares Dias","","https://fbref.com/en/matches/f575ef3e/Austria-Turkiye-July-2-2024-UEFA-Euro-2024",3.1,0.9
"UEFA European Football Championship","M",NA,2024,"Quarter-finals",NA,"Fri",2024-07-05,"18:00","Spain",2,"Germany",1,54000,"MHPArena (Neutral Site)","Anthony Taylor","Required Extra Time","https://fbref.com/en/matches/0baf4cfa/Spain-Germany-July-5-2024-UEFA-Euro-2024",1.4,2.1
"UEFA European Football Championship","M",NA,2024,"Quarter-finals",NA,"Fri",2024-07-05,"21:00","Portugal",0,"France",0,47789,"Volksparkstadion (Neutral Site)","Michael Oliver","France won on penalty kicks following extra time","https://fbref.com/en/matches/8e55d3ab/Portugal-France-July-5-2024-UEFA-Euro-2024",1.8,1.1
"UEFA European Football Championship","M",NA,2024,"Quarter-finals",NA,"Sat",2024-07-06,"18:00","England",1,"Switzerland",1,46907,"Merkur Spielarena (Neutral Site)","Daniele Orsato","England won on penalty kicks following extra time","https://fbref.com/en/matches/54e21415/England-Switzerland-July-6-2024-UEFA-Euro-2024",0.6,1.5
"UEFA European Football Championship","M",NA,2024,"Quarter-finals",NA,"Sat",2024-07-06,"21:00","Netherlands",2,"Turkey",1,70091,"Olympiastadion Berlin (Neutral Site)","Clément Turpin","","https://fbref.com/en/matches/e8c79df4/Netherlands-Turkiye-July-6-2024-UEFA-Euro-2024",1,1.3
"UEFA European Football Championship","M",NA,2024,"Semi-finals",NA,"Tue",2024-07-09,"21:00","Spain",2,"France",1,62042,"Allianz Arena (Neutral Site)","Slavko Vinčič","","https://fbref.com/en/matches/34d4d9d2/Spain-France-July-9-2024-UEFA-Euro-2024",0.7,1.1
"UEFA European Football Championship","M",NA,2024,"Semi-finals",NA,"Wed",2024-07-10,"21:00","Netherlands",1,"England",2,60926,"Signal Iduna Park (Neutral Site)","Felix Zwayer","","https://fbref.com/en/matches/dbff0752/Netherlands-England-July-10-2024-UEFA-Euro-2024",0.5,1.2
"UEFA European Football Championship","M",NA,2024,"Final",NA,"Sun",2024-07-14,"21:00","Spain",2,"England",1,65600,"Olympiastadion Berlin (Neutral Site)","François Letexier","","https://fbref.com/en/matches/e307ecc0/Spain-England-July-14-2024-UEFA-Euro-2024",1.9,0.5
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","1","Fri",2019-03-22,"19:45","England",5,"Czech Republic",0,82575,"Wembley Stadium","Artur Dias","","https://fbref.com/en/matches/09a8cb3e/England-Czech-Republic-March-22-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","1","Sat",2019-03-23,"20:45","Spain",2,"Norway",1,39752,"Estadio de Mestalla","Andris Treimanis","","https://fbref.com/en/matches/158212a6/Spain-Norway-March-23-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","2","Sun",2019-03-24,"20:45","Netherlands",2,"Germany",3,51694,"Johan Cruyff ArenA","Jesús Gil","","https://fbref.com/en/matches/42e45615/Netherlands-Germany-March-24-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","2","Tue",2019-03-26,"20:45","Norway",3,"Sweden",3,23459,"Ullevaal Stadion","Gianluca Rocchi","","https://fbref.com/en/matches/4fb504d7/Norway-Sweden-March-26-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","3","Sat",2019-06-08,"21:45","Turkey",2,"France",0,36783,"Konya Büyükşehir Stadı","Damir Skomina","","https://fbref.com/en/matches/721aec40/Turkiye-France-June-8-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","4","Mon",2019-06-10,"20:45","Spain",3,"Sweden",0,72205,"Estadio Santiago Bernabéu","William Collum","","https://fbref.com/en/matches/253595e4/Spain-Sweden-June-10-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","4","Tue",2019-06-11,"20:45","Belgium",3,"Scotland",0,32482,"Stade Roi Baudouin","Petr Ardeleánu","","https://fbref.com/en/matches/68750783/Belgium-Scotland-June-11-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","5","Fri",2019-09-06,"20:45","Germany",2,"Netherlands",4,51299,"Volksparkstadion","Artur Dias","","https://fbref.com/en/matches/7548d2e8/Germany-Netherlands-September-6-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","6","Sun",2019-09-08,"20:45","Sweden",1,"Norway",1,38372,"Friends Arena","Slavko Vinčič","","https://fbref.com/en/matches/93f04abd/Sweden-Norway-September-8-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","6","Mon",2019-09-09,"19:45","Scotland",0,"Belgium",4,25524,"Hampden Park","Paweł Gil","","https://fbref.com/en/matches/3e98d971/Scotland-Belgium-September-9-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","7","Fri",2019-10-11,"20:45","Czech Republic",2,"England",1,18651,"Sinobo Stadium","Damir Skomina","","https://fbref.com/en/matches/72565914/Czech-Republic-England-October-11-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","7","Sat",2019-10-12,"20:45","Norway",1,"Spain",1,25200,"Ullevaal Stadion","Michael Oliver","","https://fbref.com/en/matches/2e39274a/Norway-Spain-October-12-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","8","Mon",2019-10-14,"20:45","France",1,"Turkey",1,72154,"Stade de France","Felix Brych","","https://fbref.com/en/matches/0c159ba6/France-Turkiye-October-14-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2021,"Group stage","8","Tue",2019-10-15,"20:45","Sweden",1,"Spain",1,49712,"Friends Arena","Clément Turpin","","https://fbref.com/en/matches/6865d1c0/Sweden-Spain-October-15-2019-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"20:45","Sweden",0,"Belgium",3,49296,"Friends Arena","Orel Grinfeeld","","https://fbref.com/en/matches/1c47dc70/Sweden-Belgium-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Fri",2023-03-24,"20:45","France",4,"Netherlands",0,77328,"Stade de France","Maurizio Mariani","","https://fbref.com/en/matches/cc045e88/France-Netherlands-March-24-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","1","Sat",2023-03-25,"20:45","Spain",3,"Norway",0,29214,"Estadio La Rosaleda","Benoît Bastien","","https://fbref.com/en/matches/4a800e3f/Spain-Norway-March-25-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Tue",2023-03-28,"19:45","Scotland",2,"Spain",0,47976,"Hampden Park","Sandro Schärer","","https://fbref.com/en/matches/1a041b62/Scotland-Spain-March-28-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","2","Tue",2023-03-28,"21:45","Turkey",0,"Croatia",2,37750,"Yüzüncü Yıl Atatürk Stadyum","Andreas Ekberg","","https://fbref.com/en/matches/2ef3e16b/Turkiye-Croatia-March-28-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Sat",2023-06-17,"18:00","Norway",1,"Scotland",2,25791,"Ullevaal Stadion","Matej Jug","","https://fbref.com/en/matches/d3f580b6/Norway-Scotland-June-17-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Sat",2023-06-17,"19:45","Portugal",3,"Bosnia and Herzegovina",0,55058,"Estádio do Sport Lisboa e Benfica","Davide Massa","","https://fbref.com/en/matches/cbeda840/Portugal-Bosnia-and-Herzegovina-June-17-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","3","Sat",2023-06-17,"20:45","Belgium",1,"Austria",1,39237,"Stade Roi Baudouin","Jérôme Brisard","","https://fbref.com/en/matches/cc0ef54c/Belgium-Austria-June-17-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","4","Tue",2023-06-20,"20:45","Austria",2,"Sweden",0,46300,"Ernst-Happel-Stadion","Marco Guida","","https://fbref.com/en/matches/237a3893/Austria-Sweden-June-20-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","6","Tue",2023-09-12,"20:45","Sweden",1,"Austria",3,43228,"Friends Arena","Serdar Gözübüyük","","https://fbref.com/en/matches/3a859826/Sweden-Austria-September-12-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","7","Thu",2023-10-12,"20:45","Croatia",0,"Turkey",1,12812,"Opus Arena","Anthony Taylor","","https://fbref.com/en/matches/6e16ceb9/Croatia-Turkiye-October-12-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","7","Thu",2023-10-12,"20:45","Spain",2,"Scotland",0,45623,"Estadio La Cartuja de Sevilla","Serdar Gözübüyük","","https://fbref.com/en/matches/816e3943/Spain-Scotland-October-12-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","7","Fri",2023-10-13,"20:45","Netherlands",1,"France",2,51310,"Johan Cruyff ArenA","Felix Zwayer","","https://fbref.com/en/matches/7853b270/Netherlands-France-October-13-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","7","Fri",2023-10-13,"20:45","Austria",2,"Belgium",3,47000,"Ernst-Happel-Stadion","Jesús Gil","","https://fbref.com/en/matches/d5babe70/Austria-Belgium-October-13-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","8","Sun",2023-10-15,"20:45","Norway",0,"Spain",1,25885,"Ullevaal Stadion","Tobias Stieler","","https://fbref.com/en/matches/9d087fa7/Norway-Spain-October-15-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","8","Mon",2023-10-16,"20:45","Bosnia and Herzegovina",0,"Portugal",5,13047,"Stadion Bilino Polje","Halil Umut Meler","","https://fbref.com/en/matches/1db4202d/Bosnia-and-Herzegovina-Portugal-October-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","8","Mon",2023-10-16,"20:45","Belgium",1,"Sweden",1,NA,"Stade Roi Baudouin","Maurizio Mariani","Match awarded to","https://fbref.com/en/matches/2a681bd1/Belgium-Sweden-October-16-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA European Football Championship Qualifying","M",NA,2024,"Group stage","10","Sun",2023-11-19,"19:45","Scotland",3,"Norway",3,48138,"Hampden Park","Horațiu Fesnic","","https://fbref.com/en/matches/376c8c83/Scotland-Norway-November-19-2023-UEFA-Euro-Qualifying",NA,NA
"UEFA Nations League","M",NA,2021,"League A","1","Thu",2020-09-03,"20:45","Germany",1,"Spain",1,NA,"Mercedes-Benz Arena","Daniele Orsato","","https://fbref.com/en/matches/d136eab2/Germany-Spain-September-3-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League B","1","Fri",2020-09-04,"20:45","Norway",1,"Austria",2,NA,"Ullevaal Stadion","Mattias Gestranius","","https://fbref.com/en/matches/1da886e5/Norway-Austria-September-4-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","1","Sat",2020-09-05,"19:45","Portugal",4,"Croatia",1,NA,"Estádio Do Dragão","Davide Massa","","https://fbref.com/en/matches/092c332d/Portugal-Croatia-September-5-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","1","Sat",2020-09-05,"20:45","Sweden",0,"France",1,NA,"Friends Arena","Szymon Marciniak","","https://fbref.com/en/matches/aa3c0a8a/Sweden-France-September-5-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","2","Sun",2020-09-06,"20:45","Switzerland",1,"Germany",1,NA,"St. Jakob-Park","Michael Oliver","","https://fbref.com/en/matches/3a0872a5/Switzerland-Germany-September-6-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League B","2","Mon",2020-09-07,"20:45","Czech Republic",1,"Scotland",2,NA,"Andrův stadion","Serdar Gözübüyük","","https://fbref.com/en/matches/10fdc7d0/Czech-Republic-Scotland-September-7-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","2","Tue",2020-09-08,"20:45","Sweden",0,"Portugal",2,NA,"Friends Arena","Danny Makkelie","","https://fbref.com/en/matches/b5ed15d6/Sweden-Portugal-September-8-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","2","Tue",2020-09-08,"20:45","France",4,"Croatia",2,NA,"Stade de France","Ovidiu Hațegan","","https://fbref.com/en/matches/d3ef899a/France-Croatia-September-8-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","3","Sat",2020-10-10,"20:45","Spain",1,"Switzerland",0,NA,"Estadio Alfredo Di Stéfano","Ali Palabıyık","","https://fbref.com/en/matches/d8facb88/Spain-Switzerland-October-10-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","3","Sun",2020-10-11,"17:00","England",2,"Belgium",1,NA,"Wembley Stadium","Tobias Stieler","","https://fbref.com/en/matches/0abc208e/England-Belgium-October-11-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","3","Sun",2020-10-11,"18:00","Bosnia and Herzegovina",0,"Netherlands",0,1600,"Stadion Bilino Polje","István Kovács","","https://fbref.com/en/matches/3232cc1e/Bosnia-and-Herzegovina-Netherlands-October-11-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","3","Sun",2020-10-11,"18:00","Croatia",2,"Sweden",1,2020,"Stadion Maksimir","John Beaton","","https://fbref.com/en/matches/cf186f77/Croatia-Sweden-October-11-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","3","Sun",2020-10-11,"20:45","France",0,"Portugal",0,1000,"Stade de France","Carlos del Cerro","","https://fbref.com/en/matches/bc8bcb6b/France-Portugal-October-11-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","4","Tue",2020-10-13,"20:45","Germany",3,"Switzerland",3,NA,"RheinEnergieSTADION","Ruddy Buquet","","https://fbref.com/en/matches/80e6512e/Germany-Switzerland-October-13-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","4","Wed",2020-10-14,"19:45","Portugal",3,"Sweden",0,5000,"Estádio José Alvalade","Srđan Jovanović","","https://fbref.com/en/matches/cd9a6901/Portugal-Sweden-October-14-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League B","4","Wed",2020-10-14,"19:45","Scotland",1,"Czech Republic",0,299,"Hampden Park","Felix Zwayer","","https://fbref.com/en/matches/50b21b8e/Scotland-Czech-Republic-October-14-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","4","Wed",2020-10-14,"20:45","Croatia",1,"France",2,6266,"Stadion Maksimir","Björn Kuipers","","https://fbref.com/en/matches/b39b38fd/Croatia-France-October-14-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","5","Sat",2020-11-14,"19:45","Portugal",0,"France",1,NA,"Estádio do Sport Lisboa e Benfica","Tobias Stieler","","https://fbref.com/en/matches/f2375c86/Portugal-France-November-14-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","5","Sat",2020-11-14,"20:45","Sweden",2,"Croatia",1,NA,"Friends Arena","Daniel Siebert","","https://fbref.com/en/matches/3ce36846/Sweden-Croatia-November-14-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","5","Sat",2020-11-14,"20:45","Switzerland",1,"Spain",1,NA,"St. Jakob-Park","William Collum","","https://fbref.com/en/matches/dd8840de/Switzerland-Spain-November-14-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","5","Sun",2020-11-15,"18:00","Netherlands",3,"Bosnia and Herzegovina",1,NA,"Johan Cruyff ArenA","François Letexier","","https://fbref.com/en/matches/7cf4438e/Netherlands-Bosnia-and-Herzegovina-November-15-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","5","Sun",2020-11-15,"20:45","Belgium",2,"England",0,NA,"King Power at Den Dreef Stadion","Danny Makkelie","","https://fbref.com/en/matches/8a92534e/Belgium-England-November-15-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","6","Tue",2020-11-17,"20:45","Croatia",2,"Portugal",3,NA,"Gradski stadion u Poljudu","Michael Oliver","","https://fbref.com/en/matches/6715b114/Croatia-Portugal-November-17-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","6","Tue",2020-11-17,"20:45","Spain",6,"Germany",0,NA,"Estadio La Cartuja de Sevilla","Andreas Ekberg","","https://fbref.com/en/matches/9fa5f404/Spain-Germany-November-17-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League A","6","Tue",2020-11-17,"20:45","France",4,"Sweden",2,NA,"Stade de France","Aliaksei Kulbakou","","https://fbref.com/en/matches/a1b49c12/France-Sweden-November-17-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"League B","6","Wed",2020-11-18,"20:45","Austria",1,"Norway",1,NA,"Ernst-Happel-Stadion","Benoît Bastien","","https://fbref.com/en/matches/cbb131a6/Austria-Norway-November-18-2020-UEFA-Nations-League",NA,NA
"UEFA Nations League","M",NA,2021,"Semi-finals","","Thu",2021-10-07,"20:45","Belgium",2,"France",3,12409,"Allianz Stadium (Neutral Site)","Daniel Siebert","","https://fbref.com/en/matches/2448fee1/Belgium-France-October-7-2021-UEFA-Nations-League",NA,NA
